longitude,latitude,NAME,TYPE,CODE,ADDRESS,REGION,WEBSITE,TELEPHONE,FAX,ADMINISTRA,CONTACT,CHAIRMAN,REMARKS
120.5888,16.46315,BENGUET,CHAPTER,chapter11,"BeGHCompound, KM 5  La Trinidad, Benguet",NORTHERN & CENTRAL LUZON,benguet@redcross.org.ph,074-4222796,,Mr. Oscar  G. Paris,0918-9592005,Dir. Jaime L. Narvaez,
123.8551,9.6424,BOHOL,CHAPTER,chapter12,"Marapao St. cor J.A. Clarin Street, Provincial Capitol Compound, Tagbilaran City  6300",VISAYAS REGION,bohol@redcross.org.ph,038-5019175,,Mrs. Nenita B. Briones,0939-9151687,Provl. Gov. Edgar M. Chatto,
121.91153,11.89613,BORACAY,CHAPTER,chapter13,"Main Road Sitio Ambulong, Barangay Manocmanoc, Malay, Aklan",VISAYAS REGION,boracay@redcross.org.ph,036-288-2068,,Mr. Marlo D. Schoenenberger,0939-9028069,Nieva B. Mendoza,
125.13359,8.16307,BUKIDNON,CHAPTER,chapter14,"Capitol Site, Malaybalay City, Bukidnon 8700",MINDANAO REGION,bukidnon@redcross.org.ph,088-2213480,,Ms. Jocelyn  A. Daroy,0915-3393711,Hon. Leandro Jose H.Catarata,
120.81409,14.84778,BULACAN,CHAPTER,chapter15,"Capitol Center, Guinhawa, City of Malolos, Bulacan 3000",NORTHERN & CENTRAL LUZON,bulacan@redcross.org.ph,044-6625922,,Ms. Norwina D. Eclarinal,0917-3695763,Dir. Rosalie V. Lava,
121.72736,17.61474,CAGAYAN,CHAPTER,chapter16,"Magallanes  cor. Gomez Sts., Tuguegarao City 3500",NORTHERN & CENTRAL LUZON,cagayan@redcross.org.ph,078-8462881,,Ms. Aileen A. Torres,0917-8993049,Cong. Randolph S. Ting,
120.97194,14.65094,CALOOCAN CITY,CHAPTER,chapter17,"7th Ave. Grace Park, Caloocan City 1400",NATIONAL CAPITAL REGION,caloocan@redcross.org.ph,364-5752,366-0380,Mrs. Jennifer L. De Guzman,0917-5809526,Dir. Russel C. Ramirez,
122.9546,14.10379,CAMARINES NORTE,CHAPTER,chapter18,"Camarines  Norte Prov?l Hospital Compound, Bagasbas Road, Daet, Camarines Norte 4600",BICOL REGION,camarines.norte@redcross.org.ph,054-7215455,,Mr. Ferdinand Salvador Q. Ferre,0917-5504856,Dir. Josefina B. Tallado,
123.188,13.62446,CAMARINES SUR,CHAPTER,chapter19,"Panganiban Drive, Naga City 4400",BICOL REGION,camarines.sur@redcross.org.ph,054-4739431,,Mrs. Nanette E. Rodrigazo,0918-9275768,Dir.Pedrito M. Servano,
122.752,11.58692,CAPIZ,CHAPTER,chapter20,"Provincial Park, Macopa Street, Roxas City 2800",VISAYAS REGION,capiz@redcross.org.ph,036-6211125,,Mrs. Nelia B. Cartujano,0917-6270610,"Charlie T. Robles, M.D.",
124.23132,13.58188,CATANDUANES,CHAPTER,chapter21,"EBMC Compound, San Isidro Village, Virac,Catanduanes 4800",BICOL REGION,catanduanes@redcross.org.ph,,,Mr. Reymund A. Reginaldo,0917-8068528,Dir. Gabriel T. Tejerero,
120.90734,14.48061,CAVITE,CHAPTER,chapter22,"Samonte Park, Cavite City 4100",SOUTHERN LUZON,cavite@redcross.org.ph,046-4310562,,Mrs. Ma. Luz L.Asencio,0906-2750312,Dir. Cresenciana R. Fancuvilla,
123.89981,10.2993,CEBU,CHAPTER,chapter23,"Osmena Boulevard, Cebu City 6000",VISAYAS REGION,cebu@redcross.org.ph,032-4124140,032-2539793,Mrs. Norma C. Tancinco,0926-4770315,Dir. Allan Nicolas C. Ouano,
125.96622,7.60821,COMPOSTELA VALLEY,CHAPTER,chapter24,"Nabunturan Central Elem. School  Compound., Nabunturan, Compostela Valley Province 8800",MINDANAO REGION,compostela.valley@redcross.org.,084-3760685,,Mr. Joseph Randy M. Loy,0920-9137885,Dir. Louie I. Zerrudo,
124.24527,7.21623,COTABATO,CHAPTER,chapter25,"303 Veterans Ave. PC Hill, Cotabato City 9600",MINDANAO REGION,cotabato@redcross.org.ph,064-4216728,,Mr. Ricardo D. Quintayo,0922-8148196,Dir. Bai Fatima  P. Sinsuat,
125.57732,7.05628,DAVAO CITY,CHAPTER,chapter26,"Manuel Roxas Avenue, Davao City 8000",MINDANAO REGION,davaocity@redcross.org.ph,082-2276650,082-3211282,"Mr. Rogelio U. Aca, Jr.",0919-8435953,Dir. Eduardo G. Robillo,
125.80854,7.45133,DAVAO DEL NORTE,CHAPTER,chapter27,"Government Center, Mankilam, Tagum City, Davao del Norte 8100",MINDANAO REGION,davao@redcross.org.ph,084-2166910,,Mrs.Luzviminda C. Neri,0922-8592860,Gov. Rodolfo P. del Rosario,
125.3635,6.76195,DAVAO DEL SUR,CHAPTER,chapter28,"Quezon Avenue, Digos City, Davao del Sur 8002",MINDANAO REGION,davao.sur@redcross.org.ph,082-5532832,,Mrs. Helen D. Caberto,0928-5013106,Dir. Alan A. Kintanar,
126.2154,6.95693,DAVAO ORIENTAL,CHAPTER,chapter29,"Hospital Drive, Matiao, Mati, Davao Oriental 8200",MINDANAO REGION,davao.oriental@redcross.org.ph,087-3884022,,Mrs. Catherine KRM Y. Bijis,0918-5656752,Dir.Cesar De Erio,
125.43435,11.61412,EASTERN SAMAR,CHAPTER,chapter30,"Capitol Site, Alang-alang, Borongan City, Eastern Samar 6800",VISAYAS REGION,easternsamar@redcross.org.ph,055-5609040,,Mrs. Josefa C. Tentativa,0926-4770317,Dir. Jesse C. Solidon,
125.17116,6.11463,GENERAL SANTOS CITY,CHAPTER,chapter31,"City Hall Compound, General Santos City 9500",MINDANAO REGION,generalsantos@redcross.org.ph,083-3017305,083-5524323,Mrs. Merlita U. Gludo,0918-9220170,Dir. Michael T. Ang,
125.08386,8.82099,GINGOOG CITY,CHAPTER,chapter32,"Misamis Oriental Hospital Compound, Gingoog City 9014",MINDANAO REGION,gingoog@redcross.org.ph,088-427337,,Mrs. Marilyn T. Abian,0917-8824228,Dir. Marie L. Guingona,
122.59304,10.65771,GUIMARAS,CHAPTER,chapter33,"Museo de Guimaras, San Miguel, Jordan,  Guimaras 5045,",VISAYAS REGION,guimaras@redcross.org.ph,033-5812020,,Mrs. Maricel M. Linga,0908-8947534,Dir. Ruben B. Corpuz,
124.24959,8.23796,ILIGAN CITY,CHAPTER,chapter34,"Don Pedro Street, Celdren Avenue, Rosario Heights, Iligan City 9200",MINDANAO REGION,iligan@redcross.org.ph,063-2231065,,Mrs. Genevieve C. Amodia,0917-7164805,Hon. Henry C. Dy,
120.59448,18.19721,ILOCOS NORTE - LAOAG CITY,CHAPTER,chapter35,"2nd floor PHO Building, P. Gomez Street, Brgy. 23 2900 Laoag City, Ilocos Norte",NORTHERN & CENTRAL LUZON,ilocos.norte@redcross.org.ph,077-7705615,077-7720217,Mrs. Edna L. Orcino,0917-5701319,Dir. Maria C. Ang,
120.38547,17.57564,ILOCOS SUR,CHAPTER,chapter36,"Burgos Street , Provincial Capitol Compound, Vigan City 2700",NORTHERN & CENTRAL LUZON,ilocos.sur@redcross.org.ph,077-7222684,,Mr. Raymund Mario T. Chan,0915-7657444,Dir. Azucena A. Purisima,
122.56616,10.69908,ILOILO,CHAPTER,chapter37,"Bonifacio Drive (beside Iloilo Hall of Justice), Iloilo City 5000",VISAYAS REGION,iloilo@redcross.org.ph,033-3375950,,Mr. Gilbert Paul L. Valderrama,0917-6399899,Dir. Ramon C. Locsin,
121.88791,17.15098,ISABELA,CHAPTER,chapter38,"Calamangui 2nd Ilagan, Isabela  3300",NORTHERN & CENTRAL LUZON,isabela@redcross.org.ph,078-6223248,,Mrs. Antonita M. Asis,0928-5200622,Dir. Corazon T. Barrientos,
121.44478,17.40971,KALINGA,CHAPTER,chapter39,"Capitol Hills, Bulanao, Tabuk City, Kalinga",NORTHERN & CENTRAL LUZON,kalinga@redcross.org.ph,,,Ms. Glorina B. Diaz,0917-5699910,Dir. Macario Duguiang,
120.31807,16.61364,LA UNION - SAN FERNANDO CITY,CHAPTER,chapter40,"Don Pablo Campos Building, Widdoes Street, Barangay 2, City of San Fernando, 2500 La Union",NORTHERN & CENTRAL LUZON,launion@redcross.org.ph,072-6073143,,Mrs. Almira V. Abrazado,0918-9355698,Dir. Jonathan Justo A. Orros,
121.41631,14.28039,LAGUNA,CHAPTER,chapter41,"J. De Leon Street, Corner P. Guevarra Ave., Sta Cruz, Laguna 4009",SOUTHERN LUZON,laguna@redcross.org.ph,049-5011114,,Mrs. Rudelly C. Cabutin,0917-5046694,Dir. Jaime Bautista Ching,
123.94723,10.31375,LAPU-LAPU / CORDOVA,CHAPTER,chapter42,"R. de la Serna St., Poblacion, Lapu-Lapu City 6015",VISAYAS REGION,lapulapu@redcross.org.ph,032-4954770,032-2689983,Mr. Vic Jay  C. Gonzal,0917-8535390,Dir. Samuel B. Lim,
125.00698,11.24663,LEYTE,CHAPTER,chapter43,Magsaysay Blvd. Cor. M.H. del Pilar Blvd. Tacloban City 6500,VISAYAS REGION,leyte@redcross.org.ph,053-8320097,053-3213330,Ms. Jennifer S. Chico,0927-6942746,Dir.  Miguel T. Tezon,
120.95092,14.65768,MALABON CITY,CHAPTER,chapter44,"Gov. Pascual, Brgy. Potrero, Malabon City",NATIONAL CAPITAL REGION,malabon@redcross.org.ph,404-4956,,Maria Joana A. Rosete,0916-4038947,Dir. Payapa V. Ona,
120.9818,14.58807,MANILA,CHAPTER,chapter45,"Gen. Luna corner Victoria Streets, Intramuros, Manila 1002",NATIONAL CAPITAL REGION,manila@redcross.org.ph,527-3595,,Mrs.Crisanta C.Cayetano,0917-5227044,Cong. Amado S. Bagatsing,
121.83591,13.4488,MARINDUQUE,CHAPTER,chapter46,"Kasilag Street, ISOK, Boac, Marinduque  4900",SOUTHERN LUZON,marinduque@redcross.org.ph,042-3111576,,Mr. Jommel M. Merano,0926-7160202,Dir. Romulo H. Malvar,
123.62673,12.36528,MASBATE,CHAPTER,chapter47,"Social Center Site, Capitol Road, Masbate City 5400",BICOL REGION,masbate@redcross.org.ph,056-3332331,,Mrs. Amparo D. Perez,0917-8068527,Dir. Ruby Sanchez-Morano,
121.18087,13.41598,MINDORO ORIENTAL,CHAPTER,chapter48,"Capitol  Site, Camilmil, Calapan  City 5200",SOUTHERN LUZON,mindoro.oriental@redcross.org.ph,043-2867173,,Ms. Guada Fe S. de Leon,0920-9834807,Atty. LuningningY. Centron,
123.8038,8.48796,MISAMIS OCCIDENTAL - OROQUIETA CITY,CHAPTER,chapter49,"Capitol Compound, Oroquieta City 7207",MINDANAO REGION,misamis.occidental@redcross.org.ph,088-5311068,,Ms. Louwelie L. Macatol,0917-7218024,Dir. Henry Y. Regalado,
124.65347,8.49711,MISAMIS ORIENTAL - CAGAYAN DE ORO CITY,CHAPTER,chapter50,"Capitol Compound, Cagayan de Oro City 9000",MINDANAO REGION,misamis.oriental@redcross.org.ph,088-8566647,088-8568855,Dr. Myra G. Yee,0918-9275003,Atty. Antonio S. Soriano,
122.94853,10.6699,NEGROS OCCIDENTAL - BACOLOD CITY,CHAPTER,chapter51,"10th Street Lacson Capitol Subd., Capitol Shopping Center, Bacolod City 6100",VISAYAS REGION,negros.occidental@redcross.org.ph,034-4348541,034-4349286,Mr. Raul S. Garganera,0917-3250007,Judge Demosthenes L. Magallanes,
123.3051,9.30662,NEGROS ORIENTAL,CHAPTER,chapter52,"Legaspi Street, Dumaguete City 6200",VISAYAS REGION,negros.oriental@redcross.org.ph,035-4224553,,Mrs. Louella N. Bael,0917-8824214,Dr. Henry A. Sojor,
124.63779,12.50591,NORTHERN SAMAR,CHAPTER,chapter53,"Capitol Site, Catarman, Northern Samar 6400",VISAYAS REGION,northernsamar@redcross.org.ph,055-2518279,,Ms. Susana T. Hernandez,0916-7980949,Dr. Pedro D. Destura,
120.96535,15.48689,NUEVA ECIJA,CHAPTER,chapter54,"Llanera Street, Old Capitol Compound, Cabanatuan City  3100",NORTHERN & CENTRAL LUZON,nueva.ecija@redcross.org.ph,044-4631280,,Mrs. Elena M. Ladignon,0918-9203289,"Dir. Tomas N. Joson, III",
121.15787,16.48605,NUEVA VIZCAYA,CHAPTER,chapter55,"Capitol Compound. Bayombong, Nueva Vizcaya  3700",NORTHERN & CENTRAL LUZON,nueva.vizcaya@redcross.org.ph,078-3212189,,Ms. Margarita E. Dumlao,0917-5079950,Dir. Santiago O. Dickson,
120.28553,14.83956,OLONGAPO CITY,CHAPTER,chapter56,"Old Hospital Compound, East Tapinac, Olongapo City 2200",NORTHERN & CENTRAL LUZON,olongapo@redcross.org.ph,047-222-2181,,"Mr.Eduardo C. Buena, Jr.",0916-7981084,"City Mayor James J. Gordon, Jr.",
124.61142,11.00982,ORMOC CITY,CHAPTER,chapter57,"San Pablo Street, Ormoc City 6541",VISAYAS REGION,ormoc.@redcross.org.ph,053-2552911,,Mrs. Ruby L. Gernale,0915-5457796,Dir. Climaco V. Evangelista,
123.83825,8.14753,OZAMIZ CITY,CHAPTER,chapter58,"S.M. Lao Hospital Compound, Manabay, Ozamiz City 7200",MINDANAO REGION,ozamis@redcross.org.ph,088-5213837,,Mrs. Jean Paz D. Eribal,0918-9448147,Hon. Rolando E. Romero,
118.74493,9.74117,PALAWAN,CHAPTER,chapter59,"H. Mendoza Street, Old City Hall Site, Puerto Princesa City 5300",SOUTHERN LUZON,palawan@redcross.org.ph,048-4336362,,Miss. Arsenia P. Tabique,0905-3336512,Atty. Ofelia A. Sta. Maria,
120.69158,15.02748,PAMPANGA - ANGELES CITY,CHAPTER,chapter60,"Prov?l Capitol Compound , Sto.Nio, City of San Fernando Pampanga 2000",NORTHERN & CENTRAL LUZON,pampanga@redcross.org.ph,045-9614117,,Mr. Augusto B. Ocampo,0918- 9206054,Dir. Alfredo P. De Leon,
120.33941,16.0451,PANGASINAN - DAGUPAN CITY - SAN CARLOS CITY,CHAPTER,chapter61,Herrero-Perez Blvd. Dagupan City 2400,NORTHERN & CENTRAL LUZON,pangasinan@redcross.org.ph,075-5154577,,Mrs. Florame S. Magalong,0908-8601396,"Dir. Vivencio V. Villaflor, Jr. M.",
120.99479,14.54434,PASAY CITY,CHAPTER,chapter62,"2354 CAA Compound, Aurora Blvd. (old Tramo), Pasay City 1300",NATIONAL CAPITAL REGION,pasay@redcross.org.ph,854-2748,,Mrs. Adelina B. Castillo,0917-8151179,Dir. Enrique Lagdameo,
121.04996,14.64811,QUEZON CITY,CHAPTER,chapter63,"Gate 5 Quezon City Hall Compound, Kalayaan Avenue, Diliman, Quezon City 1100",NATIONAL CAPITAL REGION,quezoncity@redcross.org.ph,433-2151,,Mrs. Annie D. Torres,0922-8575372,Dir. Hermogenes D. Jarin,
121.61805,13.93427,QUEZON-LUCENA CITY,CHAPTER,chapter64,"Victoria Street, Capitol Compound, Lucena City 4301",SOUTHERN LUZON,quezonlucena@redcross.org.ph,042-7102431,,Mr. Jaime D. Candelaria,0918-9190461,Dr. Gerardo B. De Villa,
121.52216,16.53087,QUIRINO,CHAPTER,chapter65,"Capitol Hills, Cabarroguis, Quirino3400",NORTHERN & CENTRAL LUZON,quirino@redcross.org.ph,,,Mrs. Jesusa N. Leal,0917-5745001,Gov. Junie E. Cua,
121.06308,14.57554,RIZAL,CHAPTER,chapter66,"Shaw Boulevard, Brgy. Kapitolyo, Pasig City 1601",NATIONAL CAPITAL REGION,rizal@redcross.org.ph,635 -0922,,Ms. Karen S. Loreno,0917-5139074,"Dir. Alfred A. Xerez-Burgos, Jr.",
122.27033,12.57651,ROMBLON,CHAPTER,chapter67,"Capitol Site, Brgy. Capaclan, Romblon, Romblon 5500",SOUTHERN LUZON,romblon@redcross.org.ph,054-4728218,,Ms. Mary Ann D. Magada,0907-7974304,Dir. Alicia C. Fetalvero,
121.32494,14.07062,SAN PABLO CITY,CHAPTER,chapter68,"1 Rizal Avenue, San Pablo City, Laguna 4000",SOUTHERN LUZON,sanpablo@redcross.org.ph,049-5624025,,Mrs. Dorie P. Cabela,0917-5456581,"Dr. Emmanuel D. Loyola, M.D.",
124.00491,12.97121,SORSOGON,CHAPTER,chapter69,"Capitol Compound, Sorsogon City 4700",BICOL REGION,sorsogon@redcross.org.ph,056-2111300,,Mrs. Salvacion L. Abotanatin,0917-3095596,Atty. Arnulfo L.Perete,
124.84228,6.50838,SOUTH COTABATO,CHAPTER,chapter70,"Mabini Street, Koronadal City, South Cotabato 9506",MINDANAO REGION,southcotabato@redcross.org,083-2287798,,Mr. Dixie O. Villar,0917-750-6227,"Dir. Justiniano S. Grio, Sr.",
124.82948,10.13586,SOUTHERN LEYTE,CHAPTER,chapter71,"Tomas Oppus Street, Brgy. Abgao, Maasin City, Southern Leyte 6600",VISAYAS REGION,southernleyte@redcross.org.ph,053-3810563,053-3814234,Mr. Noli  G. Casas,0917-9240446,Gov. Damian G. Mercado,
124.6801,6.68528,SULTAN KUDARAT PROVINCE - TACURONG CITY,CHAPTER,chapter72,"Corner Bonifacio Street and Roxas Avenue, Tacurong City",MINDANAO REGION,sultankudarat@redcross.org.ph,064- 2006652,,Mrs. Mary Lou G. Torres,0928-5560808,Dir. Bonifacio Valdez,
120.99591,6.05139,SULU,CHAPTER,chapter73,"Marina Street, Municipal Compound, Jolo, Sulu 7400",MINDANAO REGION,sulu@redcross.org.ph,085-3418911,,Mrs. Preciosa S. Chiong,0917-5450745,"Hon. Nur ""Lady Ann"" I. Sahidulla",
125.49578,9.78816,SURIGAO DEL NORTE,CHAPTER,chapter74,"Parrucho Street Cor. Magallanes Street, Surigao City 8400",MINDANAO REGION,surigao.norte@redcross.org.ph,086-8261347,,Mrs. Marilou E. Talingting,0920-9515873,Dir. Eulalio P. Cortes,
126.1975,9.07705,SURIGAO DEL SUR,CHAPTER,chapter75,"Capitol Hills, Tandag, Surigao del Sur 8300",MINDANAO REGION,surigao.sur@redcross.org.ph,086-2113191,,Felomina Rivamonte,,Dir. Annie O. Ty,
123.74805,8.06211,TANGUB CITY,CHAPTER,chapter76,"City Hall Compound, Tangub City 7214, Misamis Occidental",MINDANAO REGION,tangub@redcross.org.ph,088-3953162,,Mrs. Enriquita G. Astillero,0917-8825739,Hon.  Edemar  S. Alota,
120.59341,15.4873,TARLAC,CHAPTER,chapter77,"Capitol Site, San Vicente, Tarlac City 2300",NORTHERN & CENTRAL LUZON,tarlac@redcross.org.ph,045-9820318,,"Mr. Luciano L. Paras, Jr.",0917-5140105,Dir. Jesus Cano Chua,
120.9677,14.69299,VALENZUELA CITY,CHAPTER,chapter78,"Dahlia Street, Villa Teresa Subdivision, Marulas, Valenzuela City",NATIONAL CAPITAL REGION,valenzuela@redcross.org.ph,293-8375,,Mrs. Criselda  I. Torres,0922-8483819,Dir. Elizabeth A. Chongco,
124.88333,11.77599,WESTERN SAMAR,CHAPTER,chapter79,"Arteche Boulevard, Catbalogan City, Western Samar  6700",VISAYAS REGION,westernsamar@redcross.org.ph,055-2516811,,Mr. Priam C. Arteche,0917-6261012,Dir Edgardo M. Guya,
119.97709,15.32778,ZAMBALES,CHAPTER,chapter80,"Brgy. Palanginan, Iba, Zambales 2201",NORTHERN & CENTRAL LUZON,zambales@redcross.org.ph,047-8113648,,Ms. Maria Elizabeth J. Ednave,0917-5774092,Norma M. Abad,
122.06802,6.94876,ZAMBOANGA CITY,CHAPTER,chapter81,"Rizal Street, Pettit Barracks, Zamboanga City 7000",MINDANAO REGION,zamboangacity@redcross.org.ph,062-9921622,,"Dr.Victor A. Liozo, Jr.",0918-9398950,"Milagros L. Fernandez, M.D.",
123.3432,8.59058,ZAMBOANGA DEL NORTE,CHAPTER,chapter82,"Capitol Tourism Complex, Dipolog City 7100",MINDANAO REGION,zamboanga.norte@redcross.org.ph,065-2129374,,Mr.  Joshua A. Bicoy,0999-9912883,Dir. Socorro U. Hamac,
123.43859,7.82073,ZAMBOANGA DEL SUR - PAGADIAN CITY,CHAPTER,chapter83,"Provincial Government Center, Barangay Dau, Pagadian City",MINDANAO REGION,zamboanga.sur@redcross.org.ph,062-2141717,,Ms. Hildaliza F. Muoz,0920-9019961,"Dir.Reynaldo S. Ortiz, M.D.",
121.34788,18.32165,APAYAO,SUB-CHAPTER,sub01,"Stall # 6 BGV Jr., Municipal Gym, Poblacion, Luna, Apayao",NORTHERN & CENTRAL LUZON,apayao@redcross.org.ph,,,Mrs. Laureen D. Cabrera,0918-9575281,"Hon. Elias K. Bulut, Sr.",mother chapter-Kalinga
121.5605,15.75641,AURORA,SUB-CHAPTER,sub02,"Palayan Street, Brgy Buhangin, Baler, Aurora 3200",NORTHERN & CENTRAL LUZON,aurora@redcross.org.ph,,,Mr. Sherwin  A. Nakar,0999-8156168,Gov. Bellaflor Angara-Castillo,mother chapter-Nueva Ecija
121.97741,6.70764,BASILAN,SUB-CHAPTER,sub03,"Strong Blvd., Port Area, Isabela City, Basilan 7300",MINDANAO REGION,basilan@redcross.org.ph,062-2003345,,Mr.Jonathan L.Cabayao,0917-8825733,Dir. Bernardita F. Hontucan,mother chapter-Zamboanga City
124.7155,9.25536,CAMIGUIN,SUB-CHAPTER,sub04,"Rizal Street, Mambajao, Camiguin 9100",MINDANAO REGION,camiguin@redcross.org.ph,,,c/o Mother Chapter,,c/o Mother Chapter,mother chapter-Misamis Oriental-Cagayan de Oro City
124.74403,10.37411,HILONGOS,SUB-CHAPTER,sub05,"Navarroza Street, Hilongos, Leyte",VISAYAS REGION,hilongos@redcross.org.ph,,,Mrs.Everlisa N. Alotaya,0910-3475510,Hon. Jose Emery Fulache Roble,mother chapter-Tacloban
121.11229,16.80534,IFUGAO,SUB-CHAPTER,sub06,"3rd Flr. Provincial Engineering Office Building, Capitol Compound, Lagawe, Ifugao 3600",NORTHERN & CENTRAL LUZON,ifugao@redcross.org.ph,074-3822241,,Mr. Randy G. Blanco,0916-4227670,Engr. Carmelita B. Buyuccan,mother chapter-Nueva Vizcaya
123.78942,8.06046,LANAO DEL NORTE,SUB-CHAPTER,sub07,"Pigcarangan, Tubod, Lanao del Norte 9210",MINDANAO REGION,lanao.norte@redcross.org.ph,063-3415570,,Mr. Reynaldo D. Ruiz,0917-8825741,Dir. Lyndon G. Galica,mother chapter-Iligan City
124.30861,7.98366,LANAO DEL SUR-MARAWI,SUB-CHAPTER,sub08,"ProvincialCapitol Complex, Buadi Sacayo, Marawi City",MINDANAO REGION,lanaosur@redcross.org.ph,,,Mrs. Raifa Adiong,0917-7068838,Dir. Ali Siddique S. Descallar,mother chapter-Iligan City
120.98381,14.45062,LAS PIAS CITY,SUB-CHAPTER,sub09,"Bernabe Compound, Pulanglupa, Las Pias City",NATIONAL CAPITAL REGION,laspinas@redcross.org.ph,385-2926,,Mr. Recson de Leon,0927-5417063,Senator Cynthia A. Villar,mother chapter-Rizal
120.97662,17.09016,MT. PROVINCE,SUB-CHAPTER,sub10,"Capitol Compound, Bontoc, Mt. Province 3616",NORTHERN & CENTRAL LUZON,mtprovince@redcross.org.ph,074-6021074,,Mr. Oscar G. Paris,0918-9592005,Hon. Leonard G. Mayaen,mother chapter-Baguio City
120.94771,14.65798,NAVOTAS CITY,SUB-CHAPTER,sub11,"Navotas City Youth Center (Tumana Area), Matambaka Street, Dagat-dagatan, Phase II, Area II, Kaunlaran Village NBBS, Navotas Cit",NATIONAL CAPITAL REGION,navotas@redcross.org..ph,474-5553,,Mrs.  Catherine D. Cataga,0928-7015812,Dir. Marilyn  R. Ang,mother chapter-Caloocan City
125.084,7.02187,NORTH COTABATO - KIDAPAWAN CITY,SUB-CHAPTER,sub12,"021 Jose Dans St., Poblacion, Kidapawan City 9400",MINDANAO REGION,northcotabatokidapawan@redcross.org. ph,064-5210525,,Mr. Leopoldo A. Devilles II,0929-9757429,"Dir. Erlinda S. Doblas, RSW",mother chapter-Cotabato City
121.06823,12.35471,OCCIDENTAL MINDORO,SUB-CHAPTER,sub13,"M. H. del Pilar Street, Brgy. Siete, San Jose, Occidental Mindoro 5100",SOUTHERN LUZON,mindoro.occidental@redcross.org.ph,043-4914383,,Mr. Minandro C. Ebora,0928-5214238,Hon. Josephine Ramirez-Sato,mother chapter-Lucena City
121.54443,16.68822,SANTIAGO CITY,SUB-CHAPTER,sub14,"City Hall Compound, San Andres, Santiago City",NORTHERN & CENTRAL LUZON,santiagocity@redcross.org.ph,0917-8971719,,Mrs.  Estela C. Vergara,0917-8128569,City Mayor Amelita S. Navarro,mother chapter-Quirino
123.51363,9.21398,SIQUIJOR,SUB-CHAPTER,sub15,"Caridad Street, Poblacion, Siquijor, Siquijor  6225",VISAYAS REGION,siquijor@redcross.org.ph,035-4809270,,Ms. Rowena L. Maputi,0905-4165607,Dir. Arturo P. Pacatang,mother chapter-Negros Oriental
